scheme_code,date,nav,scheme_name,fund_house,category
119551,2013-03-04,103.0478,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-05,103.0786,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-06,103.1012,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-07,103.129,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-08,103.1462,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-11,103.2199,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-12,103.251,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-13,103.2884,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-14,103.34,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-15,102.9975,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-18,103.0355,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-19,103.0632,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-20,103.1016,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-21,103.157,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-22,103.1891,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-25,103.2114,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-26,103.2285,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-03-28,103.2633,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-02,103.2626,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-03,103.3274,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-04,103.4096,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-05,103.4164,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-08,103.462,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-09,103.4716,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-10,103.4653,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-12,103.5704,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-15,103.6711,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-16,103.0719,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-17,103.0866,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-18,103.1589,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-22,103.216,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-23,103.2481,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-25,103.2947,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-26,103.3139,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-29,103.3845,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-04-30,103.0655,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-02,103.2057,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-03,103.2082,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-06,103.2821,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-07,103.3087,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-08,103.3404,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-09,103.3949,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-10,103.4157,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-13,103.4824,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-14,103.5159,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-15,103.113,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-16,103.141,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-17,103.1745,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-20,103.2356,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-21,103.2444,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-22,103.2698,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-23,103.2705,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-24,103.2834,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-27,103.349,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-28,103.3617,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-29,103.0877,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-30,103.1152,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-05-31,103.1296,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-03,103.1984,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-04,103.225,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-05,103.2598,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-06,103.2957,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-07,103.3194,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-10,103.3704,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-11,103.3832,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-12,103.3913,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-13,103.4056,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-14,103.4267,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-17,103.154,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-18,103.221,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-19,103.2602,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-20,103.2642,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-21,103.2992,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-24,103.3469,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-25,103.3595,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-26,103.3772,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-27,103.3957,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-06-28,103.4072,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-02,103.2075,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-03,103.2267,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-04,103.265,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-05,103.2854,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-08,103.3431,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-09,103.368,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-10,103.3886,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-11,103.4083,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-12,103.4314,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-15,103.4995,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-16,102.6046,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-17,102.7023,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-18,102.8496,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-19,102.8672,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-22,102.9274,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-23,102.8344,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-24,102.6244,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-25,102.6991,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-26,102.7573,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-29,102.8554,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-30,102.8875,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-07-31,102.9055,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-01,102.9596,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-02,103.0101,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-05,103.1389,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-06,103.1471,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-07,103.1785,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-08,103.2116,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-12,103.2958,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-13,103.3152,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-14,103.364,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-16,103.1558,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-19,103.207,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-20,103.2086,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-21,103.3135,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-22,103.3345,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-23,103.3768,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-26,103.4776,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-27,103.4881,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-28,103.4713,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-29,103.1588,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-08-30,103.214,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-02,103.3253,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-03,103.3815,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-04,103.4408,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-05,103.5445,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-06,103.5778,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-10,103.7133,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-11,103.7462,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-12,103.7831,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-13,103.8036,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-16,103.8949,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-17,103.2261,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-18,103.3108,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-19,103.4545,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-20,103.5346,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-23,103.594,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-24,103.6,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-25,103.6534,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-26,103.6866,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-27,103.724,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-09-30,103.7595,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-01,103.2655,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-03,103.3443,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-04,103.4092,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-07,103.5211,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-08,103.7122,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-09,103.7191,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-10,103.7396,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-11,103.7572,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-14,103.8303,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-15,103.2589,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-17,103.3326,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-18,103.3672,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-21,103.4516,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-22,103.4859,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-23,103.4986,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-24,103.5248,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-25,103.5569,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-28,103.6375,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-29,103.332,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-30,103.3571,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-10-31,103.3858,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-01,103.3966,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-05,103.4962,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-06,103.5239,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-07,103.5073,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-08,103.5326,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-11,103.5975,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-12,103.6068,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-13,103.6314,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-14,103.6701,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-18,103.396,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-19,103.4355,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-20,103.4681,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-21,103.474,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-22,103.5041,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-25,103.6001,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-26,103.6402,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-27,103.7259,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-28,103.7346,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-11-29,103.3436,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-02,103.4284,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-03,103.4693,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-04,103.4962,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-05,103.5545,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-06,103.5593,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-09,103.618,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-10,103.6308,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-11,103.6643,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-12,103.7351,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-13,103.7247,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-16,103.8019,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-17,103.3699,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-18,103.4075,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-19,103.4336,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-20,103.4584,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-23,103.5236,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-24,103.534,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-26,103.5763,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-27,103.5893,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-30,103.6429,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2013-12-31,103.3941,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-01,103.446,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-02,103.4808,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-03,103.506,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-06,103.5815,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-07,103.5881,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-08,103.5945,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-09,103.5989,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-10,103.6477,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-13,103.721,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-15,103.7752,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-16,103.3942,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-17,103.4134,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-20,103.4895,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-21,103.5305,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-22,103.5532,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-23,103.5792,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-24,103.6008,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-27,103.6718,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-28,103.6757,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-29,103.4118,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
119551,2014-01-30,103.4259,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
